,_id,away_score,away_scorers,away_team_id,finished,group,home_score,home_scorers,home_team_id,id,local_date,matchday,persian_date,stadium_id,time_elapsed,type,home_team_fa,away_team_fa,home_team_en,away_team_en,home_flag,away_flag
36,629c9c8a5749c4077500eaf8,0,['null'],16,FALSE,D,0,['null'],11,37,11/30/2022 18:00,11,1400-09-09 18:30,1,notstarted,group,دانمارک,استرالیا,Denmark,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/125px-Flag_of_Denmark.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png
37,629c9c8a5749c4077500eaf9,0,['null'],15,FALSE,D,0,['null'],12,38,11/30/2022 18:00,11,1400-09-09 18:30,1,notstarted,group,تونس,فرانسه,Tunisia,France,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/125px-Flag_of_Tunisia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/125px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png
38,629c9c8a5749c4077500eafa,0,['null'],9,FALSE,C,0,['null'],14,39,11/30/2022 22:00,11,1400-09-09 22:30,1,notstarted,group,لهستان,آرژانتین,Poland,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/125px-Flag_of_Poland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png
39,629c9c8a5749c4077500eafb,0,['null'],13,FALSE,C,0,['null'],10,40,11/30/2022 22:00,11,1400-09-09 22:30,1,notstarted,group,عربستان,مکزیک,Saudi Arabia,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/125px-Flag_of_Saudi_Arabia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/125px-Flag_of_Mexico.svg.png
40,629c9c8a5749c4077500eafc,0,['null'],23,FALSE,F,0,['null'],18,41,12/1/2022 18:00,12,1400-09-10 18:30,1,notstarted,group,کرواسی,بلژیک,Croatia,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/125px-Flag_of_Croatia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png
41,629c9c8a5749c4077500eafd,0,['null'],17,FALSE,F,0,['null'],24,42,12/1/2022 18:00,12,1400-09-10 18:30,1,notstarted,group,کانادا,مراکش,Canada,Morocco,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/125px-Flag_of_Canada_%28Pantone%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/125px-Flag_of_Morocco.svg.png
42,629c9c8a5749c4077500eafe,0,['null'],21,FALSE,E,0,['null'],20,43,12/1/2022 22:00,12,1400-09-10 22:30,1,notstarted,group,ژاپن,اسپانیا,Japan,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png
43,629c9c8a5749c4077500eaff,0,['null'],19,FALSE,E,0,['null'],22,44,12/1/2022 22:00,12,1400-09-10 22:30,1,notstarted,group,کاستاریکا,آلمان,Costa Rica,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/125px-Flag_of_Costa_Rica_%28state%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png
44,629c9c8a5749c4077500eb00,0,['null'],29,FALSE,H,0,['null'],28,45,12/2/2022 18:00,13,1400-09-11 18:30,1,notstarted,group,غنا,اروگوئه,Ghana,Uruguay,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/125px-Flag_of_Ghana.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/125px-Flag_of_Uruguay.svg.png
45,629c9c8a5749c4077500eb01,0,['null'],27,FALSE,H,0,['null'],30,46,12/2/2022 18:00,13,1400-09-11 18:30,1,notstarted,group,کره جنوبی,پرتغال,South Korea,Portugal,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/125px-Flag_of_South_Korea.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/125px-Flag_of_Portugal.svg.png
46,629c9c8a5749c4077500eb02,0,['null'],31,FALSE,G,0,['null'],26,47,12/2/2022 22:00,13,1400-09-11 22:30,1,notstarted,group,صربستان,سوئیس,Serbia,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/125px-Flag_of_Serbia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/100px-Flag_of_Switzerland.svg.png
47,629c9c8a5749c4077500eb03,0,['null'],32,FALSE,G,0,['null'],25,48,12/2/2022 22:00,13,1400-09-11 22:30,1,notstarted,group,برزیل,کامرون,Brazil,Cameroon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/125px-Flag_of_Brazil.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/125px-Flag_of_Cameroon.svg.png
